, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
5485,193,152000,1,1,1.70439051,1,0.00518134715,0.000006578947368
5486,193,985000,20,2,4208.200731,8000,0.00518134715,0.000001015228426
5487,195,13500000,17,4,373.2573599,4913,0.005128205128,0.00000007407407407
5488,210,985000,3,30,195.7940537,27,0.004761904762,0.000001015228426
5489,203,985000,1,11,2.750618889,1,0.004926108374,0.000001015228426
5490,190,7120000,1,15,0.5544056771,1,0.005263157895,0.0000001404494382
5491,190,41500000,17,2,62.30818009,4913,0.005263157895,0.00000002409638554
5492,190,7120000,11,16,787.10822,1331,0.005263157895,0.0000001404494382
5493,205,7120000,3,11,10.17402028,27,0.00487804878,0.0000001404494382
5494,203,152000,7,11,6113.883848,343,0.004926108374,0.000006578947368
5495,212,8650,17,6,803740.866,4913,0.004716981132,0.0001156069364
5496,208,8650,20,20,4446420.631,8000,0.004807692308,0.0001156069364
5497,193,41500000,3,25,4.213746176,27,0.00518134715,0.00000002409638554
5498,190,458000,15,11,21331.30315,3375,0.005263157895,0.000002183406114
5499,200,13500000,3,2,1,27,0.005,0.00000007407407407
5500,193,7120000,7,20,249.6070327,343,0.00518134715,0.0000001404494382
5501,198,458000,20,6,26465.52865,8000,0.005050505051,0.000002183406114
5502,208,41500000,15,20,390.987025,3375,0.004807692308,0.00000002409638554
5503,193,7120000,20,15,4366.303778,8000,0.00518134715,0.0000001404494382
5504,198,152000,13,20,72999.73418,2197,0.005050505051,0.000006578947368
5505,190,3010000,7,30,899.6328029,343,0.005263157895,0.0000003322259136
5506,205,3010000,7,6,166.7612025,343,0.00487804878,0.0000003322259136
5507,193,41500000,17,2,61.33965915,4913,0.00518134715,0.00000002409638554
5508,200,13500000,11,16,394.3703704,1331,0.005,0.00000007407407407
5509,190,13500000,13,16,685.2241715,2197,0.005263157895,0.00000007407407407
5510,205,7120000,15,11,1271.752535,3375,0.00487804878,0.0000001404494382
5511,193,1830000,17,25,17387.94983,4913,0.00518134715,0.0000005464480874
5512,212,985000,11,16,5099.128436,1331,0.004716981132,0.000001015228426
5513,195,1830000,3,4,15.13240858,27,0.005128205128,0.0000005464480874
5514,210,1830000,1,16,2.081707,1,0.004761904762,0.0000005464480874
5515,190,7120000,17,4,726.3453578,4913,0.005263157895,0.0000001404494382
5516,205,32200,3,30,6135.434025,27,0.00487804878,0.00003105590062
5517,210,458000,20,4,16635.47515,8000,0.004761904762,0.000002183406114
5518,203,458000,11,6,4294.74907,1331,0.004926108374,0.000002183406114
5519,190,458000,13,1,1262.353482,2197,0.005263157895,0.000002183406114
5520,200,458000,20,15,65502.18341,8000,0.005,0.000002183406114
5521,208,3010000,20,4,2555.583951,8000,0.004807692308,0.0000003322259136
5522,190,41500000,9,11,50.84971465,729,0.005263157895,0.00000002409638554
5523,203,3010000,13,11,1977.562476,2197,0.004926108374,0.0000003322259136
5524,208,13500000,3,16,7.692307692,27,0.004807692308,0.00000007407407407
5525,198,13500000,1,16,0.2992891882,1,0.005050505051,0.00000007407407407
5526,200,7120000,7,4,48.1741573,343,0.005,0.0000001404494382
5527,200,152000,5,15,3083.881579,125,0.005,0.000006578947368
5528,208,41500000,5,1,0.7240500463,125,0.004807692308,0.00000002409638554
5529,210,1830000,1,15,1.951600312,1,0.004761904762,0.0000005464480874
5530,212,152000,11,2,4130.461768,1331,0.004716981132,0.000006578947368
5531,205,1830000,3,6,21.59136345,27,0.00487804878,0.0000005464480874
5532,190,32200,7,16,44851.25858,343,0.005263157895,0.00003105590062
5533,198,3010000,1,30,2.516862982,1,0.005050505051,0.0000003322259136
5534,210,152000,20,20,250626.5664,8000,0.004761904762,0.000006578947368
5535,212,1830000,1,16,2.062068254,1,0.004716981132,0.0000005464480874
5536,198,985000,3,2,13.844024,27,0.005050505051,0.000001015228426
5537,195,41500000,15,15,312.78962,3375,0.005128205128,0.00000002409638554
5538,203,985000,11,4,1331.299542,1331,0.004926108374,0.000001015228426
5539,203,41500000,13,16,208.6295923,2197,0.004926108374,0.00000002409638554
5540,203,8650,1,15,427.1192232,1,0.004926108374,0.0001156069364
5541,212,458000,1,20,10.29908544,1,0.004716981132,0.000002183406114
5542,200,13500000,20,11,1629.62963,8000,0.005,0.00000007407407407
5543,205,8650,1,20,563.9362752,1,0.00487804878,0.0001156069364
5544,193,8650,20,25,5989996.706,8000,0.00518134715,0.0001156069364
5545,195,152000,17,15,124316.8016,4913,0.005128205128,0.000006578947368
5546,205,152000,13,11,38778.88318,2197,0.00487804878,0.000006578947368
5547,190,13500000,9,6,85.26315789,729,0.005263157895,0.00000007407407407
5548,208,41500000,13,11,139.9849398,2197,0.004807692308,0.00000002409638554
5549,200,13500000,3,15,7.5,27,0.005,0.00000007407407407
5550,203,3010000,7,11,308.7409783,343,0.004926108374,0.0000003322259136
5551,193,32200,20,2,128729.1217,8000,0.00518134715,0.00003105590062
5552,210,32200,5,6,5545.696539,125,0.004761904762,0.00003105590062
5553,210,8650,15,20,1857968.621,3375,0.004761904762,0.0001156069364
5554,190,1830000,20,20,23008.34052,8000,0.005263157895,0.0000005464480874
5555,195,7120000,9,25,656.3310285,729,0.005128205128,0.0000001404494382
5556,195,13500000,5,15,35.61253561,125,0.005128205128,0.00000007407407407
5557,203,3010000,3,16,35.35014647,27,0.004926108374,0.0000003322259136
5558,210,7120000,7,11,126.170412,343,0.004761904762,0.0000001404494382
5559,208,458000,3,2,28.3422909,27,0.004807692308,0.000002183406114
5560,208,8650,17,20,2730658.07,4913,0.004807692308,0.0001156069364
5561,210,8650,1,20,550.509221,1,0.004761904762,0.0001156069364
5562,200,8650,9,11,231763.0058,729,0.005,0.0001156069364
5563,210,152000,3,20,845.8646617,27,0.004761904762,0.000006578947368
5564,200,7120000,1,25,0.8778089888,1,0.005,0.0000001404494382
5565,195,458000,3,1,15.11588848,27,0.005128205128,0.000002183406114
5566,210,8650,15,4,371593.7242,3375,0.004761904762,0.0001156069364
5567,212,152000,15,20,104735.6008,3375,0.004716981132,0.000006578947368
5568,195,41500000,3,30,5.00463392,27,0.005128205128,0.00000002409638554
5569,205,3010000,20,16,10371.93096,8000,0.00487804878,0.0000003322259136
5570,193,152000,17,20,167473.4115,4913,0.00518134715,0.000006578947368
5571,195,8650,3,20,16007.11427,27,0.005128205128,0.0001156069364
5572,210,458000,3,6,84.21709295,27,0.004761904762,0.000002183406114
5573,200,32200,5,4,3881.987578,125,0.005,0.00003105590062
5574,195,152000,1,15,25.30364372,1,0.005128205128,0.000006578947368
5575,208,1830000,15,20,8866.645649,3375,0.004807692308,0.0000005464480874
5576,198,7120000,3,6,5.745658836,27,0.005050505051,0.0000001404494382
5577,210,41500000,1,15,0.08605851979,1,0.004761904762,0.00000002409638554
5578,208,1830000,11,11,1923.208281,1331,0.004807692308,0.0000005464480874
5579,198,41500000,20,4,194.718267,8000,0.005050505051,0.00000002409638554
5580,203,458000,13,25,29537.82778,2197,0.004926108374,0.000002183406114
5581,190,152000,17,20,170117.7285,4913,0.005263157895,0.000006578947368
5582,208,3010000,5,6,59.89649885,125,0.004807692308,0.0000003322259136
5583,205,32200,1,30,227.2382972,1,0.00487804878,0.00003105590062
5584,200,985000,3,4,27.41116751,27,0.005,0.000001015228426
5585,205,985000,17,11,13381.94874,4913,0.00487804878,0.000001015228426
5586,210,7120000,20,30,8025.682183,8000,0.004761904762,0.0000001404494382
5587,210,7120000,15,4,451.4446228,3375,0.004761904762,0.0000001404494382
5588,200,985000,20,15,30456.85279,8000,0.005,0.000001015228426
5589,210,41500000,3,2,0.3098106713,27,0.004761904762,0.00000002409638554
5590,208,458000,17,2,5157.247229,4913,0.004807692308,0.000002183406114
5591,195,13500000,3,4,2.051282051,27,0.005128205128,0.00000007407407407
5592,205,3010000,15,2,546.9572968,3375,0.00487804878,0.0000003322259136
5593,210,458000,3,2,28.07236432,27,0.004761904762,0.000002183406114
5594,195,985000,9,16,3036.31394,729,0.005128205128,0.000001015228426
5595,210,7120000,17,25,4107.310059,4913,0.004761904762,0.0000001404494382
5596,208,13500000,9,25,324.5192308,729,0.004807692308,0.00000007407407407
5597,205,3010000,3,15,32.81743781,27,0.00487804878,0.0000003322259136
5598,193,458000,9,20,8247.166097,729,0.00518134715,0.000002183406114
5599,205,985000,1,15,3.71425034,1,0.00487804878,0.000001015228426
5600,203,985000,20,20,40009.00203,8000,0.004926108374,0.000001015228426
5601,193,152000,15,30,172569.5391,3375,0.00518134715,0.000006578947368
5602,200,458000,13,6,7195.414847,2197,0.005,0.000002183406114
5603,198,458000,7,2,378.2365136,343,0.005050505051,0.000002183406114
5604,195,41500000,9,16,72.06672845,729,0.005128205128,0.00000002409638554
5605,203,41500000,9,2,8.653332542,729,0.004926108374,0.00000002409638554
5606,195,1830000,13,4,1231.32969,2197,0.005128205128,0.0000005464480874
5607,203,3010000,9,11,656.1870939,729,0.004926108374,0.0000003322259136
5608,190,32200,5,30,30647.27035,125,0.005263157895,0.00003105590062
5609,208,7120000,20,6,1620.570441,8000,0.004807692308,0.0000001404494382
5610,212,32200,17,11,395838.2163,4913,0.004716981132,0.00003105590062
5611,195,8650,3,1,800.3557137,27,0.005128205128,0.0001156069364
5612,200,32200,1,1,7.763975155,1,0.005,0.00003105590062
5613,198,8650,7,4,40053.71635,343,0.005050505051,0.0001156069364
5614,212,7120000,11,25,1102.229966,1331,0.004716981132,0.0000001404494382
5615,190,458000,11,11,8412.433923,1331,0.005263157895,0.000002183406114
5616,198,152000,11,2,4422.51462,1331,0.005050505051,0.000006578947368
5617,198,1830000,13,20,6063.365899,2197,0.005050505051,0.0000005464480874
5618,212,458000,17,11,27829.67372,4913,0.004716981132,0.000002183406114
5619,195,985000,13,20,11438.24027,2197,0.005128205128,0.000001015228426
5620,198,41500000,11,30,242.9718876,1331,0.005050505051,0.00000002409638554
5621,210,8650,3,16,11890.99917,27,0.004761904762,0.0001156069364
5622,205,985000,7,11,934.257769,343,0.00487804878,0.000001015228426
5623,205,458000,5,2,133.1345191,125,0.00487804878,0.000002183406114
5624,205,1830000,7,4,182.8601893,343,0.00487804878,0.0000005464480874
5625,210,7120000,13,20,1469.368646,2197,0.004761904762,0.0000001404494382
5626,195,32200,9,1,5805.064501,729,0.005128205128,0.00003105590062
5627,193,41500000,13,1,13.71496348,2197,0.00518134715,0.00000002409638554
5628,203,13500000,5,25,57.01514322,125,0.004926108374,0.00000007407407407
5629,200,1830000,20,16,17486.3388,8000,0.005,0.0000005464480874
5630,195,7120000,9,4,105.0129646,729,0.005128205128,0.0000001404494382
5631,190,985000,3,16,115.4154422,27,0.005263157895,0.000001015228426
5632,212,7120000,5,6,24.84365063,125,0.004716981132,0.0000001404494382
5633,205,458000,7,11,2009.266163,343,0.00487804878,0.000002183406114
5634,193,41500000,3,1,0.1685498471,27,0.00518134715,0.00000002409638554
5635,198,458000,3,2,29.77371973,27,0.005050505051,0.000002183406114
5636,198,13500000,15,11,694.4444444,3375,0.005050505051,0.00000007407407407
5637,208,3010000,13,1,175.4568106,2197,0.004807692308,0.0000003322259136
5638,198,985000,9,16,2990.309183,729,0.005050505051,0.000001015228426
5639,200,3010000,11,30,3316.445183,1331,0.005,0.0000003322259136
5640,203,1830000,17,4,2645.024092,4913,0.004926108374,0.0000005464480874
5641,198,13500000,11,16,398.3539095,1331,0.005050505051,0.00000007407407407
5642,200,458000,17,15,40226.52838,4913,0.005,0.000002183406114
5643,193,985000,1,11,2.893138003,1,0.00518134715,0.000001015228426
5644,200,7120000,13,2,154.2837079,2197,0.005,0.0000001404494382
5645,210,985000,15,15,12237.12835,3375,0.004761904762,0.000001015228426
5646,190,13500000,9,15,213.1578947,729,0.005263157895,0.00000007407407407
5647,193,1830000,1,6,0.8494011722,1,0.00518134715,0.0000005464480874
5648,200,32200,20,20,1242236.025,8000,0.005,0.00003105590062
5649,212,985000,15,15,12121.68375,3375,0.004716981132,0.000001015228426
5650,198,985000,7,30,2638.055684,343,0.005050505051,0.000001015228426
5651,212,152000,1,16,24.82621648,1,0.004716981132,0.000006578947368
5652,205,3010000,17,20,7962.077627,4913,0.00487804878,0.0000003322259136
5653,212,32200,15,4,98880.81566,3375,0.004716981132,0.00003105590062
5654,193,41500000,3,2,0.3370996941,27,0.00518134715,0.00000002409638554
5655,200,458000,20,6,26200.87336,8000,0.005,0.000002183406114
5656,193,13500000,11,25,638.5530608,1331,0.00518134715,0.00000007407407407
5657,208,1830000,15,15,6649.984237,3375,0.004807692308,0.0000005464480874
